draw,rows,mode,patterns,auc
19,80,distinct,80,0.5768025078369906
19,80,duplicated,53,0.6666666666666666
19,100,distinct,100,0.7345872518286313
19,100,duplicated,62,0.6948798328108673
19,130,distinct,130,0.7439916405433648
19,130,duplicated,74,0.6656217345872518
19,160,distinct,160,0.677115987460815
19,160,duplicated,90,0.6509926854754442
19,186,distinct,186,0.7063740856844305
19,186,duplicated,100,0.6729362591431557
20,20,distinct,20,0.6097297297297297
20,20,duplicated,20,0.6172972972972973
20,40,distinct,40,0.5254054054054054
20,40,duplicated,32,0.6367567567567567
20,60,distinct,60,0.5848648648648649
20,60,duplicated,42,0.3772972972972973
20,80,distinct,80,0.5545945945945946
20,80,duplicated,66,0.5783783783783784
20,100,distinct,100,0.5881081081081081
20,100,duplicated,67,0.5643243243243243
20,130,distinct,130,0.48648648648648646
20,130,duplicated,77,0.5135135135135136
20,160,distinct,160,0.5318918918918918
20,160,duplicated,95,0.6432432432432432
20,186,distinct,186,0.5556756756756757
20,186,duplicated,104,0.6108108108108108
21,20,distinct,20,0.5026455026455026
21,20,duplicated,20,0.5449735449735449
21,40,distinct,40,0.6285714285714286
21,40,duplicated,33,0.673015873015873
21,60,distinct,60,0.6592592592592592
21,60,duplicated,52,0.62010582010582
21,80,distinct,80,0.5968253968253968
21,80,duplicated,56,0.6116402116402118
21,100,distinct,100,0.6857142857142858
21,100,duplicated,69,0.6158730158730158
21,130,distinct,130,0.6624338624338625
21,130,duplicated,78,0.5989417989417989
21,160,distinct,160,0.5724867724867725
21,160,duplicated,89,0.6275132275132275
21,186,distinct,186,0.637037037037037
21,186,duplicated,113,0.5608465608465609
22,20,distinct,20,0.5241596638655462
22,20,duplicated,20,0.47478991596638664
22,40,distinct,40,0.39075630252100846
22,40,duplicated,33,0.5021008403361344
22,60,distinct,60,0.48634453781512604
22,60,duplicated,41,0.5871848739495799
22,80,distinct,80,0.6428571428571429
22,80,duplicated,52,0.6460084033613446
22,100,distinct,100,0.6207983193277311
22,100,duplicated,74,0.7016806722689075
22,130,distinct,130,0.6785714285714286
22,130,duplicated,79,0.689075630252101
22,160,distinct,160,0.5976890756302521
22,160,duplicated,97,0.5640756302521008
22,186,distinct,186,0.661764705882353
22,186,duplicated,94,0.6995798319327731
23,20,distinct,20,0.4857456140350877
23,20,duplicated,18,0.6315789473684211
23,40,distinct,40,0.48464912280701755
23,40,duplicated,37,0.6239035087719298
23,60,distinct,60,0.5822368421052632
23,60,duplicated,43,0.5811403508771931
23,80,distinct,80,0.5997807017543859
23,80,duplicated,59,0.6524122807017544
23,100,distinct,100,0.6085526315789475
23,100,duplicated,64,0.606359649122807
23,130,distinct,130,0.6337719298245614
23,130,duplicated,79,0.667763157894737
23,160,distinct,160,0.6480263157894737
23,160,duplicated,97,0.6162280701754386
23,186,distinct,186,0.6195175438596491
23,186,duplicated,110,0.668859649122807
24,20,distinct,20,0.5569487983281086
24,20,duplicated,20,0.6353187042842214
24,40,distinct,40,0.4535005224660397
24,40,duplicated,34,0.5151515151515151
24,60,distinct,60,0.6112852664576802
24,60,duplicated,50,0.5977011494252873
24,80,distinct,80,0.5214211076280041
24,80,duplicated,56,0.5820271682340648
24,100,distinct,100,0.5444096133751306
24,100,duplicated,67,0.5350052246603971
24,130,distinct,130,0.5851619644723093
24,130,duplicated,77,0.5799373040752351
24,160,distinct,160,0.6102403343782654
24,160,duplicated,88,0.6091954022988506
24,186,distinct,186,0.6280041797283177
24,186,duplicated,109,0.6206896551724138
