rep,Method,Item,Accuracy
5,Marginal sampling,Feeling anxious,0.6521739130434783
5,Marginal sampling,Feeling of guilt,0.37037037037037035
5,Marginal sampling,Problems of bonding with baby,0.38461538461538464
5,Mode,Age,0.22727272727272727
5,Mode,Feeling sad or Tearful,0.38461538461538464
5,Mode,Irritable towards baby & partner,0.20833333333333334
5,Mode,Trouble sleeping at night,0.42857142857142855
5,Mode,Problems concentrating or making decision,0.4
5,Mode,Overeating or loss of appetite,0.6363636363636364
5,Mode,Feeling anxious,0.7391304347826086
5,Mode,Feeling of guilt,0.3333333333333333
5,Mode,Problems of bonding with baby,0.23076923076923078
5,"KNN (Hamming, k=7)",Age,0.13636363636363635
5,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.46153846153846156
5,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.4583333333333333
5,"KNN (Hamming, k=7)",Trouble sleeping at night,0.42857142857142855
5,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.65
5,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.6060606060606061
5,"KNN (Hamming, k=7)",Feeling anxious,0.6521739130434783
5,"KNN (Hamming, k=7)",Feeling of guilt,0.4444444444444444
5,"KNN (Hamming, k=7)",Problems of bonding with baby,0.34615384615384615
5,MICE (logistic),Age,0.18181818181818182
5,MICE (logistic),Feeling sad or Tearful,0.5384615384615384
5,MICE (logistic),Irritable towards baby & partner,0.375
5,MICE (logistic),Trouble sleeping at night,0.47619047619047616
5,MICE (logistic),Problems concentrating or making decision,0.3
5,MICE (logistic),Overeating or loss of appetite,0.6666666666666666
5,MICE (logistic),Feeling anxious,0.7391304347826086
5,MICE (logistic),Feeling of guilt,0.48148148148148145
5,MICE (logistic),Problems of bonding with baby,0.4230769230769231
5,MICE (random forest),Age,0.18181818181818182
5,MICE (random forest),Feeling sad or Tearful,0.4230769230769231
5,MICE (random forest),Irritable towards baby & partner,0.4166666666666667
5,MICE (random forest),Trouble sleeping at night,0.47619047619047616
5,MICE (random forest),Problems concentrating or making decision,0.7
5,MICE (random forest),Overeating or loss of appetite,0.696969696969697
5,MICE (random forest),Feeling anxious,0.7391304347826086
5,MICE (random forest),Feeling of guilt,0.5555555555555556
5,MICE (random forest),Problems of bonding with baby,0.5
5,Iterative MCA (2 dims),Age,0.22727272727272727
5,Iterative MCA (2 dims),Feeling sad or Tearful,0.5
5,Iterative MCA (2 dims),Irritable towards baby & partner,0.3333333333333333
5,Iterative MCA (2 dims),Trouble sleeping at night,0.42857142857142855
5,Iterative MCA (2 dims),Problems concentrating or making decision,0.35
5,Iterative MCA (2 dims),Overeating or loss of appetite,0.696969696969697
5,Iterative MCA (2 dims),Feeling anxious,0.8260869565217391
5,Iterative MCA (2 dims),Feeling of guilt,0.48148148148148145
5,Iterative MCA (2 dims),Problems of bonding with baby,0.4230769230769231
6,Marginal sampling,Age,0.34782608695652173
6,Marginal sampling,Feeling sad or Tearful,0.15384615384615385
6,Marginal sampling,Irritable towards baby & partner,0.21739130434782608
6,Marginal sampling,Trouble sleeping at night,0.2
6,Marginal sampling,Problems concentrating or making decision,0.3181818181818182
6,Marginal sampling,Overeating or loss of appetite,0.5588235294117647
6,Marginal sampling,Feeling anxious,0.7142857142857143
6,Marginal sampling,Feeling of guilt,0.21052631578947367
6,Marginal sampling,Problems of bonding with baby,0.2
6,Mode,Age,0.21739130434782608
6,Mode,Feeling sad or Tearful,0.46153846153846156
